epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,19810.3,1.11427,0.58313,0.98644,0.88136,0.80385,0.86408,0.55575,1.10587,0.51666,0.96537,0.004357,0.004357,0.004357
59,20151.1,1.1146,0.58384,0.98589,0.88133,0.80692,0.86541,0.55686,1.10374,0.51543,0.9647,0.004258,0.004258,0.004258
60,20492.2,1.10759,0.5787,0.98345,0.88517,0.80583,0.86552,0.55761,1.10193,0.51428,0.96425,0.004159,0.004159,0.004159
61,20833.6,1.10104,0.57537,0.98223,0.88581,0.80448,0.86552,0.55877,1.10035,0.51326,0.96368,0.00406,0.00406,0.00406
62,21174.7,1.09713,0.57288,0.97988,0.88535,0.80502,0.86568,0.55944,1.0987,0.51216,0.96314,0.003961,0.003961,0.003961
63,21516.3,1.09121,0.57122,0.97973,0.88623,0.80437,0.86523,0.56009,1.09728,0.51086,0.96282,0.003862,0.003862,0.003862
64,21856.9,1.08905,0.56715,0.97896,0.88784,0.8056,0.86618,0.56108,1.09594,0.50975,0.96236,0.003763,0.003763,0.003763
65,22198.9,1.08579,0.56462,0.97812,0.88792,0.80586,0.86649,0.56122,1.09503,0.50895,0.96216,0.003664,0.003664,0.003664
66,22540.4,1.07382,0.55959,0.9737,0.88698,0.80682,0.86637,0.56186,1.09406,0.50825,0.96165,0.003565,0.003565,0.003565
67,22882,1.07366,0.55722,0.9719,0.88718,0.80678,0.86628,0.5621,1.09304,0.50696,0.96123,0.003466,0.003466,0.003466
68,23223.6,1.07121,0.55756,0.96906,0.88632,0.80866,0.86711,0.56244,1.09186,0.50596,0.96069,0.003367,0.003367,0.003367
69,23565.9,1.06322,0.55216,0.96929,0.88714,0.80819,0.86782,0.56313,1.0908,0.50501,0.96042,0.003268,0.003268,0.003268
70,23907,1.06306,0.55101,0.96679,0.88699,0.80799,0.86776,0.56335,1.08976,0.50402,0.95994,0.003169,0.003169,0.003169
71,24248.4,1.05722,0.5477,0.96396,0.88741,0.8082,0.86762,0.56379,1.08839,0.50298,0.95946,0.00307,0.00307,0.00307
72,24590.1,1.04558,0.54138,0.9626,0.88776,0.80847,0.86831,0.56438,1.08733,0.50232,0.95907,0.002971,0.002971,0.002971
73,342.465,1.05466,0.54295,0.96746,0.88861,0.80836,0.86843,0.56467,1.08707,0.50194,0.95896,0.002872,0.002872,0.002872
74,683.699,1.05425,0.54366,0.96789,0.88875,0.80838,0.86872,0.56474,1.08661,0.50161,0.95888,0.002773,0.002773,0.002773
75,1024.04,1.05284,0.5441,0.96689,0.88808,0.80926,0.86865,0.56504,1.08626,0.50141,0.95868,0.002674,0.002674,0.002674
76,344.061,1.04012,0.53514,0.96335,0.88796,0.80948,0.86915,0.56555,1.08597,0.50126,0.95863,0.002575,0.002575,0.002575
77,684.742,1.05231,0.54129,0.9656,0.88745,0.80935,0.86891,0.56556,1.08534,0.5008,0.95842,0.002476,0.002476,0.002476
78,1025.33,1.04857,0.54028,0.96598,0.88855,0.80906,0.86925,0.56575,1.08495,0.50057,0.95838,0.002377,0.002377,0.002377
79,1365.64,1.04845,0.53969,0.96615,0.88921,0.80814,0.86929,0.56624,1.08426,0.50044,0.95815,0.002278,0.002278,0.002278
80,1705.78,1.03825,0.53412,0.96185,0.8903,0.80759,0.86966,0.56652,1.08379,0.50016,0.95795,0.002179,0.002179,0.002179
81,2045.6,1.03438,0.53329,0.96125,0.89096,0.80782,0.86999,0.56688,1.08321,0.49958,0.95768,0.00208,0.00208,0.00208
82,2385.51,1.032,0.52933,0.96013,0.8902,0.80812,0.8699,0.56729,1.08227,0.49916,0.95741,0.001981,0.001981,0.001981
83,2725.87,1.01592,0.52165,0.95554,0.89103,0.80795,0.8699,0.56786,1.08154,0.49874,0.95692,0.001882,0.001882,0.001882
84,3066.43,1.01583,0.52217,0.95653,0.89145,0.80835,0.8705,0.56813,1.08084,0.49823,0.95673,0.001783,0.001783,0.001783
85,3406.98,1.00691,0.51594,0.95355,0.89133,0.80877,0.87072,0.56846,1.08025,0.49748,0.95646,0.001684,0.001684,0.001684
86,3747.59,1.00663,0.51528,0.95224,0.89008,0.8094,0.87092,0.5688,1.07925,0.49675,0.95614,0.001585,0.001585,0.001585
87,4088.32,0.99864,0.51021,0.94866,0.89169,0.8087,0.87102,0.56928,1.07829,0.49635,0.95584,0.001486,0.001486,0.001486
88,4429.06,0.99058,0.50809,0.94578,0.89192,0.80855,0.87127,0.56951,1.07754,0.49595,0.95553,0.001387,0.001387,0.001387
89,4769.78,0.99222,0.50759,0.94618,0.89159,0.80928,0.87168,0.56997,1.0766,0.49556,0.95519,0.001288,0.001288,0.001288
90,5109.95,0.98398,0.5042,0.94416,0.89201,0.80956,0.87174,0.57018,1.07563,0.49512,0.9548,0.001189,0.001189,0.001189
91,5450.01,0.96234,0.46845,0.9403,0.89343,0.80928,0.87233,0.57084,1.07456,0.49453,0.9544,0.00109,0.00109,0.00109
92,5786.95,0.94591,0.45875,0.93636,0.89241,0.81051,0.87229,0.57138,1.07349,0.4936,0.95405,0.000991,0.000991,0.000991
93,6124.34,0.9322,0.45272,0.93475,0.89295,0.81095,0.87254,0.57206,1.07215,0.4931,0.95362,0.000892,0.000892,0.000892
94,6461.22,0.92127,0.44836,0.92884,0.89359,0.81187,0.87302,0.57281,1.07097,0.49229,0.95317,0.000793,0.000793,0.000793
95,6797.91,0.91511,0.44413,0.92706,0.89401,0.81217,0.87349,0.57368,1.06974,0.4915,0.95265,0.000694,0.000694,0.000694
96,7133.99,0.90389,0.43949,0.92341,0.89236,0.81387,0.87366,0.57437,1.06843,0.4906,0.95224,0.000595,0.000595,0.000595
97,7470.7,0.89574,0.43547,0.92131,0.89181,0.8147,0.87402,0.57513,1.06709,0.48986,0.9518,0.000496,0.000496,0.000496
98,7807.58,0.88713,0.43142,0.92074,0.89164,0.81523,0.87416,0.57584,1.06573,0.48913,0.95133,0.000397,0.000397,0.000397
99,8144.13,0.88772,0.43137,0.91843,0.89181,0.81553,0.87416,0.57632,1.0643,0.48831,0.95091,0.000298,0.000298,0.000298
100,8480.47,0.87969,0.42801,0.91717,0.89182,0.81585,0.87465,0.57688,1.06298,0.48767,0.95067,0.000199,0.000199,0.000199
